,Country,variable,value
948,Greece,1999,86.47
949,Hungary,1999,59.53
950,Iceland,1999,2.13
951,Ireland,1999,37.81
952,Italy,1999,398.49
953,Latvia,1999,5.24
954,Libya,1999,38.06
955,Lithuania,1999,12.86
956,Luxembourg,1999,7.31
957,Malta,1999,2.41
958,Moldova,1999,7.05
959,Montenegro,1999,0.34
960,Netherlands,1999,163.09
961,Norway,1999,24.3
962,Poland,1999,295.56
963,Portugal,1999,63.66
964,Romania,1999,86.2
965,Russia,1999,1081.87
966,Serbia,1999,37.87
967,Slovakia,1999,31.22
968,Slovenia,1999,5.54
969,Spain,1999,235.67
970,Sweden,1999,59.21
971,Switzerland,1999,43.06
972,Turkey,1999,175.93
973,Ukraine,1999,257.09
974,United Kingdom,1999,511.41
975,Azerbaijan,1999,37.2
976,Georgia,1999,13.75
977,Israel,1999,52.96
978,Morocco,1999,27.7
979,Macedonia,1999,9.14
980,Albania,1998,1.99
981,Andorra,1998,0.49
